aesthetic,related
Robotics Kids,"['Cyberprep', 'Cyberpunk']"
Rock,"['Basque Radical Rock', 'Emo', 'Metal', 'Punk', 'Y%C3%A9-y%C3%A9 Girl']"
Rockabilly,"['Americana', 'Cherry Emoji Twitter', 'Dolly Girl', 'Greaser', 'Old Hollywood', 'Rock']"
Rocketpunk,"['Atompunk', 'Raygun Gothic', 'Retro-Futurism', 'Spacecore']"
Rockstar GF,"['Messy French It Girl', 'Downtown Girl', 'Grunge', 'Indie Sleaze', 'Rock']"
Rococo,"['Angelcore', 'Baroque', 'Delicate Sweet', 'Ethereal', 'French Girly', 'Hollywood Regency', 'Lolita', 'Lovecore', 'Pink Parisian', 'Princesscore', 'Softie']"
Roguecore,"['Royalcore', 'Dragoncore', 'Kingcore', 'Knightcore', 'Princesscore', 'Princecore', 'Queencore']"
Rollerwave,"['Grindhouse', 'Hauntology', 'Hippie', 'Mod', 'Lo-Fi', 'Pop Art', 'Psychedelica', 'Synthwave', 'Vaporwave']"
Romanesque,"['Classicism', 'Gothic', 'Medieval', 'Mud%C3%A9jar', 'Neo-Romanism', 'Noucentisme', 'Victorian']"
Romantic Academia,"['Art Academia', 'Autumn', 'Ballet Academia', 'Dark Academia', 'Dreamy', 'Light Academia', 'Lovecore', 'Pink Parisian', 'Poetcore', 'Post-Punk', 'Romantic Italian', 'Romanticism', 'Strega', 'Studyplace', 'Theatre Academia']"
Romantic Chinese Village,[]
Romantic Goth,"['Aristocrat', 'Gothic', 'Goth', 'Gothic Lolita', 'Trad Goth', 'Romanticism', 'Romantic Academia', 'Strega', 'Victorian', 'Victorian Goth']"
Romanticism,"['Art Academia', 'Dandy', 'Dark Academia', 'Gothic', 'Modernisme', 'Neo-Celtic', 'New Romantic', 'Light Academia', 'Romantic Academia', 'Spanish Golden Age', 'Taisho Roman']"
Romantic Italian,"['Angelcore', 'Art Academia', 'Classic Academia', 'Cottagecore', 'Hellenic', 'Noucentisme', 'Light Academia', 'Lovecore', 'Pink Parisian', 'Romantic Academia', 'Tomato Girl Summer', 'Wanderlust']"
Rotcore,"['Morute', 'Traumacore', 'Gorecore', 'Grunge']"
Royalcore,"['Baroque', 'Dragoncore', 'Imperial Romanov', 'Kingcore', 'Knightcore', 'Princesscore', 'Princecore', 'Queencore', 'Rococo', 'Spanish Golden Age']"
Rubberhose,"['Animecore', 'Art Deco', 'Cartooncore', 'Ligne Claire', 'Roaring 20s']"
Rustic,"['Americana', 'Autumn', 'Bloomcore', 'Cottagecore', 'Country', 'French Provincial Style', 'Grunge', 'Hikecore', 'Naturecore', 'Prairie', 'Tuscan Rustic', 'Western']"
Sacricore,"['Angelcore', 'Catholic Horror', 'Christian Hardcore', 'Devilcore', 'Grunge', 'Punk', 'Slutcore', 'Traumacore', 'Witchcore']"
Sad Beige,"['Preppy', 'Light Academia', 'Christian Girl Autumn', 'Clean Girl', 'Boujee', 'Country']"
Sadpeople,"['Dead Inside', 'Doomer', 'Drain', 'Drugcore', 'E-Boy', 'E-Girl', 'Emo', 'Grunge', 'Liminal Space', 'Lo-Fi', 'Traumacore', 'Vaporwave', 'Voidpunk', 'Yami Kawaii']"
Saint Patrick%27s Day,"['Halloween', 'Neo-Celtic', 'Spring']"
Salon Kei,[]
Salvagepunk,"['Avant Apocalypse', 'Gadgetpunk', 'Post-Apocalyptic', 'Soft Apocalypse', 'Hip-Hop', 'Post-Punk', 'Steampunk', 'Cyberpunk', 'Surrealism', 'Hauntology', 'Cyberneticpunk', 'Post-Rock']"
Sandalpunk,"['Steampunk', 'Neo-Romanism', 'Hellenic']"
Sanriocore,"['Kawaii', 'Animecore', 'Babycore', 'Bimbocore', 'Girl-Next-Door', 'Heisei Retro', 'Kidcore', 'Melodycore', 'Pastel Goth', 'Softie', 'Traumacore', 'Kuromicore']"
Scandi Girl Winter,"['New Spanish Catholic Girl', 'Northerness', 'Tomato Girl Summer']"
Scandinavian Design,"['Minimalism', 'Wabi-Sabi', 'Mid-Century Modern']"
Scene,"['2000s Virtual Singer', '2010s Internet', '2 Tone', 'Blingeecore', 'Club Kids', 'Cyberspace Webrooms', 'Digital Oddity', 'Emo', 'Furry', 'Glowwave', 'Hands Up', 'Incel', 'Internet Awesomesauce', 'Jejemon', 'Kidcore', 'Krushclub', 'Nintencore', 'Webcore', 'Pokem%C3%B3n', 'Punk', 'Raver', 'Rainbowcore', 'Shamate', 'Shibuya Punk', 'Technoneko2000', 'Teenpunk', 'Tecktonik', 'UrBling', 'Nostalgiacore']"
School Anti-Bullying Positivity Reinforcement,[]
Science Academia,"['Chaotic Academia', 'Classic Academia', 'Dark Academia', 'Light Academia', 'Green Academia', 'Paleocore', 'Spacecore', 'Medicalcore', 'Labcore', 'Mad Scientist', 'Gadgetpunk', 'Studyblr']"
Scottish Highlands,"['Naturecore', 'Neo-Celtic', 'Earthcore', 'Gloomcore', 'Adventurecore', 'Wetcore']"
Scoutcore,"['Adventurecore', 'Dark Naturalism', 'Hikecore', 'Naturecore', 'Craftcore', 'Cabincore']"
Scrapbook,"['Art Academia', 'Art Hoe', 'Craftcore', 'Bubble Bujo', 'Decora', 'Frutiger Metro', 'High School Dream', 'Hipness Purgatory', 'Kawaii', 'Kidcore', 'Lovecore', 'Maximalism', 'Rainbowcore', 'Sparklecore', 'Tweencore', 'VSCO']"
Scrapper,"['Americana', 'Bastardcore', 'Chav', 'Eshay', 'Greaser', 'Grunge', 'Riotwave']"
Seapunk,"['Biopunk', 'Club', 'Cybercore', 'Cyberdelic', 'Cyberpunk', 'Future Funk', 'Glowwave', 'Hip-Hop', 'Holosexual', 'Hyperpop', 'Icepunk', 'Mermaid', 'Mizuiro', 'Nautical', 'Ocean Grunge', 'Oceanpunk', 'Poolcore', 'R%26B', 'Reefwave', 'Scene', 'Slimepunk', 'Trillwave', 'Tropical', 'Vaporwave', 'Witch House']"
Sega Uranus,"['Cybercore', 'Gamercore', 'Nostalgiacore', 'Nintencore', 'Silicon Dreams']"
Seiz Breur,"['Arts and Crafts Movement', 'Art Deco', 'Avant-garde', 'Folk Punk', 'Medieval', 'Modernism', 'Neo-Breton Style', 'Neo-Celtic', 'New Age', 'Pont-Aven School', 'Romanticism', 'Selkiecore']"
Selkiecore,"['Dark Nautical', 'Ocean Grunge', 'Nautical', 'Neo-Celtic', 'Dark Fantasy', 'Northerness']"
Sextrance,"['Animecore', 'Breakcore', 'Cyberdelic', 'Denpa', 'Drain', 'Fotonight Web', 'HexD', 'Itasha', 'Neo-Tribal', 'Nostalgiacore', 'Lo-Fi', 'Low Poly', 'Raver', 'Sigilkore', 'Technoneko2000', 'Weirdcore', 'Witchcore', 'Xpiritualism']"
Shabby Chic,"['Art Academia', 'Cottagecore', 'Fairy Academia', 'Grandparentcore', 'Mori Kei', 'Prairie', 'Rococo', 'TGIF Crush', 'Victorian', 'Antique Grunge']"
Shamate,"['Emo', 'Goth', 'Pokem%C3%B3n', 'Punk', 'Scene', 'Visual Kei', 'Xpiritualism']"
Shanzhai,"['Boujee', 'Bubblegum Dance', 'Dollar Store Vernacular', 'Dresiarz', 'Foodie', 'Fotonight Web', 'Hypebeast', 'Vaporwave', 'Xpiritualism']"
Sharpies,[]
Shibuya Punk,"['Breakcore', 'Bubblegum Dance', 'City Pop', 'Raver', 'Future Funk', 'Gabber', 'Hip-Hop', 'Indie', 'Lounge', 'Nu-Metal', 'Psychedelica', 'Punk', 'Y%C3%A9-y%C3%A9 Girl', 'Animecore', 'Cybercore', 'Cyberpop', 'Cyberpunk', 'Frutiger Aero', 'Frutiger Metro', 'Gen X Soft Club', 'Gyaru', 'Harajuku Fashion', 'Psychedelica', 'Scene', 'Skater', 'Superflat Pop', 'Trashy Raver', 'Urbancore', 'UrBling', 'Y2K']"
Shiny Suit 97,"['Cheiron Crush', 'Chromecore', 'Cybercore', 'Gangsta Rap', 'Hip-Hop', 'MTV Green Sky', 'R%26B', 'The Box 96']"
Shironuri,"['Goth', 'Mori Kei', 'Visual Kei']"
Shoe Diva,"['Girly Girl', 'McBling', 'Triple Chic', 'Pink Parisian']"
Shoegaze,"['Britpop', 'Doomer', 'Dreamy', 'Lo-Fi', 'Emo', 'Indie', 'Poppare']"
Shoujo,"['Animecore', 'Heisei Retro', 'Kawaii', 'Yume Kawaii']"
Sigilkore,"['Alternative', 'Animecore', 'Blingeecore', 'Devilcore', 'Drain', 'E-Boy', 'E-Girl', 'Emo', 'Glitchcore', 'Goth', 'Gothcore', 'HexD', 'Halloween', 'Hip-Hop', 'Horror', 'Hyperpop', 'Krushclub', 'Mallgoth', 'Metalcore', 'Necrotrap', 'Neo-Tribal', 'Nintencore', 'Scene', 'Hyperborean', 'Sextrance', 'Trillwave', 'Witchcore', 'Witch House', 'Xpiritualism']"
Sigma,"['Horror', 'Military', 'Larpercore', 'PSY-OP Girl']"
Signalism,"['Avant-garde', 'Modernism', 'Surrealism', 'Zenitism']"
SK8,"['Cyber Grunge', 'Twilightcore', 'UrBling', 'Drain', 'Opium']"
Silicon Dreams,"['2000s Virtual Singer', 'Bubblegum Dance', 'Cybercore', 'Cyberdelic', 'Cyberpunk', 'Dreamcore', 'Icepunk', 'Imaginarium', 'Laser Grid', 'Liminal Space', 'Low Poly', 'Med-Tech Visions', 'Seapunk', 'Sega Uranus', 'Slimepunk', 'Synthwave', 'Vaporwave', 'Weirdcore', '7 HD', 'Xpiritualism']"
Silkpunk,"['Steampunk', 'New Age']"
Simplecore,"['Happycore', 'MS Paint', 'Revcore']"
Silly,"['MS Paint', 'Wormcore', 'Feralcore', 'Goofcore', 'Y2K', 'Low Poly', 'Randumb', 'Bastardcore']"
Sizz,['Cryptidcore']
Skater,"['Alternative', 'Grunge', 'Hip-Hop', 'Nu-Metal', 'Punk', 'Shibuya Punk', 'Teenpunk', 'Urbancore', 'UrBling']"
Skeuomorphism,"['Abstract Tech', 'Corporate Memphis', 'Cybercore', 'Dark Aero', 'Flat Design', 'Frutiger Aero', 'Funwaacore', 'Glassmorphism', 'Holo', 'Neumorphism', 'Superflat Pop']"
Skinheads,"['Dresiarz', 'Hatecore', 'Punk']"
Slam Pop,"['Brutal Industrial', 'Memphis Design', 'Rage HD', '80s Heartthrob']"
Slimepunk,"['Cleancore', 'Cybercore', 'Glowwave', 'Goblincore', 'Icepunk', 'Mallgoth', 'Seapunk', 'Vaporwave']"
Sloanie,"['Bon Chic, Bon Genre', 'Dark Academia', 'Old Money', 'Light Academia', 'Preppy']"
Sleepycore,"['Dreamcore', 'Kidcore', 'Nostalgiacore', 'Yume Kawaii', 'Babycore']"
Slutcore,"['Baddie', 'Bastardcore', 'Feralcore', 'Bimbocore', 'Bubblegum Bitch', 'Boujee', 'Babygirl', 'Pin-up']"
Snackwave,"['LOLcore', 'Foodie', 'Maximalism']"
Snow Bunny,"['Beach Bunny', 'Buckle Bunny', 'Boujee', 'Winter', 'Winter Fairy Coquette']"
Snowdrop,"['Anime New Moon', 'Auroracore', 'Ballet Academia', 'Ethereal', 'Romantic Academia', 'Romanticism']"
Social Science Academia,"['Dark Academia', 'Queer Academia', 'Science Academia']"
Socialist Realism,"['Constructivism', 'Heroic Realism', 'Military', 'Realism', 'Soviet Bloc School', 'Soviet Nostalgia', 'Sovietwave']"
Soft Apocalypse,"['Avant Apocalypse', 'Post-Apocalyptic', 'Solarpunk']"
Soft Colonial Wanderlust,"['Hipster', 'Hipness Purgatory', 'Wanderlust', 'Adventure Pulp', 'Utopian Scholastic', 'Steampunk', 'Dieselpunk', 'Art Nouveau']"
Soft Countriana,"['Coquette', 'Danish Pastel', 'Shabby Chic', 'Americana', 'Barbiecore', 'Morute', 'Cottagecore', 'Country', 'TGIF Crush']"
Soft Grunge,"['Cult Party Kei', 'E-Boy', 'E-Girl', 'Grunge', 'Traumacore', 'Sadpeople', '2014 Tumblr']"
Softie,"['E-Girl', 'Kawaii', 'Preppy', 'VSCO', 'VSCO Preppy', 'Yume Kawaii']"
Soft Indie,"['Indie', 'Light Academia', 'Dreamy', 'Grunge', 'Lo-Fi']"
Soft Macabre,"['Dark Paradise', 'Dullcore', 'Goth', 'Grunge', 'Emo', 'Morute', 'Pastel Gore', 'Pastel Goth', 'Soft Grunge', 'Yami Kawaii']"
Soft Morningcore,"['Peoplehood', 'Korean Cozy Beige', 'Comfy/Cozy', 'Lo-Fi', 'Dreamy', 'Dazecore', 'Delicate Sweet', 'Vanilla Girl']"
Soggy,"['Earthcore', 'Mossy', 'Naturecore', 'Rainy Day', 'Rotcore', 'Wormcore']"
Solarcore,[]
Solarpunk,"['Afrofuturism', 'Art Nouveau', 'Biopunk', 'Cottagecore', 'Cyberparadism', 'Cyberprep', 'Cyberpunk', 'Frutiger Aero', 'Frutiger Eco', 'Lunarpunk', 'Naturecore', 'Steampunk', 'Vaporwave']"
So Retro,"['8-Bit', 'Arcadecore', 'MS Paint', 'Nintencore', 'Nostalgiacore', 'Pixel UI', 'Trashy Raver', 'Y2K']"
Southern Belle,"['Old Money', 'Preppy']"
Southern Gothic,"['After Hours', 'Anglo Gothic', 'Catholic Horror', 'Goth', 'Gothic', 'American Gothic', 'Midwest Gothic', 'New England Gothic', 'Regional Gothic', 'Southern Belle', 'Suburban Gothic', 'Goth', 'Trad Goth', 'Deathrock', 'Cryptidcore']"
Soviet Bloc School,"['Socialist Realism', 'Soviet Brutalism']"
Soviet Brutalism,"['Doomer', 'Sovietwave', 'Urbancore', 'Fe%C3%ADsmo']"
Soviet Nostalgia,"['Communist Chic', 'Soviet Brutalism', 'Gopnik', 'Socialist Realism', 'Soviet Bloc School', 'Sovietwave', 'Nostalgiacore', 'Grandparentcore', 'Balkan Violence Tumblr', 'Fe%C3%ADsmo']"
Sovietwave,"['Doomer', 'Heroic Realism', 'Larpercore', 'Socialist Realism', 'Synthwave', 'Vaporwave']"
Spacecore,"['Glowwave', 'Hydrogen', 'New Age', 'Rocketpunk', 'Science Academia', 'Unicorncore', 'Virgo%27s Tears']"
Spanish Golden Age,"['Angelcore', 'Baroque', 'Burlesque', 'Dutch Golden Age', 'Imperial Romanov', 'Italian Renaissance', 'New Spanish Catholic Girl', 'Realism', 'Romanticism', 'Royalcore', 'Victorian']"
Sparklecore,"['Baddie', 'Blingeecore', 'Boujee', 'Craftcore', 'Fairycore', 'Happycore', 'Holosexual', 'Pearly', 'Princesscore', 'Rainbowcore', 'Softie', 'Kawaii', 'Weirdcore', 'Kidcore']"
Spiritcore,"['Anime New Moon', 'Dark Academia', 'Lo-Fi', 'Lunarpunk', 'Spacecore', 'Vaporwave']"
Spriggancore,"['Fairycore', 'Strega', 'Fantasy', 'Dark Fantasy', 'Gloomcore', 'Mythpunk', 'Dethereal', 'Goblincore', 'Dethereal']"
Spring,"['Autumn', 'Bloomcore', 'Cottagecore', 'Dreamy', 'Naturecore', 'Saint Patrick%27s Day', 'Summer', 'Warmcore', 'Winter']"
Spy Fiction,"['Film Noir', 'Femme Fatale', 'Golden Age of Detective Fiction']"
Stargirl,"['Y2K', 'Bleak Crush', 'Krushclub', 'Night Luxe', 'Rockstar GF']"
Starrflesh,"['Surrealism', 'Horror', 'Liminal Space']"
Steampunk,"['Aristocrat', 'Art Nouveau', 'Cyberpunk', 'Dark Academia', 'Decopunk', 'Dieselpunk', 'Electro Swing', 'Goth', 'Gothic', 'Hip-Hop', 'Lolita', 'New Romantic', 'New Wave', 'Post-Apocalyptic', 'Punk', 'Retro-Futurism', 'Rivethead', 'Romantic Goth', 'Silkpunk', 'Steelpunk', 'Teslapunk', 'Victorian', 'Victorian Goth', 'Western']"
Steelpunk,"['Steampunk', 'Dieselpunk', 'Decopunk']"
Stellar Scholar,"['Fantasy Astronomy', 'Spacecore', 'Victorian']"
Stilyagi,[]
Stimwave,"['Holosexual', 'Kidcore', 'Scene', 'Slimepunk']"
Stonepunk,"['Forestpunk', 'Paleocore', 'Prehistoric']"
Stoner,"['Acid Pixie', 'Acidwave', 'Cyberdelic', 'Dionysism', 'Doomer', 'Drugcore', 'Heroin Chic', 'Hippie', 'Naturecore', 'Psychedelica', 'Punk', 'Raver']"
Strega,"['Dark Fantasy', 'Ballet Academia', 'Cottagecore', 'Cottagegore', 'Deathrock', 'Fairycore', 'Forestpunk', 'Glam Rock', 'Goth', 'Goblincore', 'Gothic Lolita', 'Mori Kei', 'Mythpunk', 'Romantic Goth', 'Trad Goth', 'Fairy Tale']"
Stripcore,"['Casino', 'Devilcore', 'Drugcore', 'Glowwave', 'Hip-Hop', 'Raver', 'R%26B', 'Slutcore', 'Synthwave', 'Vaporwave']"
Studyblr,"['Art Academia', 'Chaotic Academia', 'Classic Academia', 'Corporate', 'Dark Academia', 'Darkest Academia', 'Fairy Academia', 'Light Academia', 'Pastel Academia', 'Romantic Academia', 'Science Academia', 'Studyplace', 'Theatre Academia', 'Vibrant Academia', 'Witchy Academia']"
Studyplace,"['Art Academia', 'Chaotic Academia', 'Classic Academia', 'Dark Academia', 'Darkest Academia', 'Fairy Academia', 'Light Academia', 'Pastel Academia', 'Romantic Academia', 'Studyblr', 'Theatre Academia', 'Witchy Academia']"
Suburban Gothic,"['50s Suburbia', 'After Hours', 'Anglo Gothic', 'Cryptidcore', 'Midwest Gothic', 'Southern Gothic', 'Deathrock', 'Dreamy', 'Liminal Space', 'Weirdcore', 'Traumacore']"
Sukeban,"['Baddie', 'Bosozoku', 'Gyaru', 'Yanki']"
Summer,"['Autumn', 'Heatwave', 'Poolcore', 'Seapunk', 'Spring', 'Tomato Girl Summer', 'Tropical', 'Vacation Dadcore', 'Winter']"
Superflat Pop,"['Animecore', 'Cartooncore', 'Erokawa', 'Four Colors', 'Frutiger Aero', 'Frutiger Metro', 'Gurokawa', 'Internet Awesomesauce', 'Kawaii', 'McBling', 'Neo-Pop', 'Psychedelica', 'Pixelscape', 'Pop Art', 'Rainbowcore', 'Shibuya Punk', 'Urbancore', 'UrBling', 'Vibrant Academia']"
Suprematism,"['Art Academia', 'Avant-garde', 'Bauhaus', 'Constructivism', 'Cubism', 'De Stijl', 'Italian Futurism', 'Minimalism']"
Surf Crush,"['Art Hoe', 'Beach Bunny', 'Beach Girl', 'Coconut Girl', 'Frutiger Aero', 'McBling', 'Poolcore', 'Summer', 'Superflat Pop', 'Tiki', 'UrBling', 'VSCO']"
Surfer,"['Surf Crush', 'Beach Bunny', 'Tiki', 'Tropical']"
Surrealism,"['Aeropittura', 'Art Academia', 'Avant-garde', 'Bizarro Fiction', 'Dau al Set', 'Dreamcore', 'Dreamy', 'Ero-Guro', 'Grime Art', 'Hydrogen', 'Liminal Space', 'Modernism', 'Neo-Pop', 'Nouveau R%C3%A9alisme', 'Psychedelica', 'Surreal Memer', 'Weirdcore']"
Surreal Memer,"['Alien', 'Arabfunny', 'Bastardcore', 'Deep Fried Meme', 'Wholesome Meme']"
Sweet Lolita,"['Cult Party Kei', 'Delicate Sweet', 'Fairy Kei', 'Girly Girl', 'Hime Lolita', 'Lolita', 'Yume Kawaii']"
Swenkas,"['Dandy', 'La Sape']"
Swordpunk,"['Cyberpunk', 'Medieval Fantasy', 'Steampunk']"
Synthwave,"['80s Heartthrob', '80 Thousand', 'Acid Design', 'Cassette Futurism', 'City Pop', 'Cybercore', 'Cyberdelic', 'Cyberpunk', 'Doomer', 'Dreamy', 'Glowwave', 'Italo Disco', 'Internet Awesomesauce', 'Itasha', 'Laser Grid', 'Memphis Design', 'Neon Noir', 'New Romantic', 'New Wave', 'Nostalgiacore', 'Politicalwave', 'Retro-Futurism', 'Sovietwave', 'Tropical Disco', 'Vaporwave', 'Visual Pollution']"
Tacticool,"['Mall Ninja', 'Paramilitary', 'Techwear']"
Taisho Roman,"['Art Deco', 'Romanticism', 'Neoclassicism', 'Roaring 20s', 'Nanchatte Seifuku', 'Ukiyo-e', 'Bankara']"
Takenokozoku,['Gyaru']
Tango,['Lolailo']
Teamer,"['Bosozoku', 'Sukeban', 'Gyaru', 'Greaser', 'Yakuza', 'Bankara']"
Technical Scene,"['Animecore', 'Cyber Grunge', 'Emo', 'Health Goth', 'Mallgoth', 'Scene', 'Witch House']"
Technocore,"['Abstract Tech', 'Cyberdelic', 'Cyberpunk', 'Steampunk', 'Synthwave', 'Urbancore', 'Vaporwave', 'Y2K']"
Technoneko2000,"['Abstract Tech', 'Animecore', 'Anime New Moon', 'Blingeecore', 'Bubblegum Dance', 'Cybercore', 'Frutiger Aero', 'Hands Up', 'Itasha', 'Neko', 'Sextrance', 'Xpiritualism']"
Technozen,"['Chromecore', 'Corporate', 'Flat Design', 'Four Colors', 'Frutiger Aero', 'Gen X Soft Club', 'Home 2K', 'Nintencore', 'Pastel Academia', 'Vaporwave', 'Vectorheart', 'Weathercore']"
Techwear,"['Cybergoth', 'Cyberpunk', 'Girl Crush', 'Gorpcore', 'Hypebeast', 'Mallgoth', 'Tacticool', 'Urbancore', 'Witch House']"
Tecktonik,"['Bakala', 'Belgian New Beat', 'Blingeecore', 'Cybergoth', 'Disco', 'Emo', 'Frutiger Metro', 'Gabber', 'Hands Up', 'Hip-Hop', 'Punk', 'Raver', 'Scene', 'Trashy Raver', 'Wixa', 'Xpiritualism', 'Y2K']"
Teddy Boys,"['Androgynous', 'Mod', 'New Romantic', 'Youthquake']"
Teenage Dream,"['Bro', 'High School Dream', 'Nostalgiacore', 'Peoplehood']"
Teenagers in the Woods,"['Horror', 'Cabincore']"
Teenpunk,"['Blingeecore', 'Corporate Grunge', 'Corporate Punk', 'Emo', 'Frutiger Metro', 'Hot Topic', 'Mallgoth', 'Olderbrothercore', 'Punk', 'Scene', 'Tweencore', 'UrBling', 'Y2K']"
Teenqueen,"['Tweencore', 'Princesscore', 'High School Dream', 'Girl-Next-Door']"
Telstracore,"['Liminal Space', 'Y2K']"
Tendercore,"['Comfy/Cozy', 'Nostalgiacore', 'Kidcore', 'Tweencore', 'Cozy Childhood Hideaway']"
Terrorwave,"['Balkan Violence Tumblr', 'Necrotrap', 'Northern Irish Muralism', 'Larpercore', 'Sovietwave', 'Vaporwave']"
Teslapunk,"['Atompunk', 'Cyberpunk', 'Decopunk', 'Dieselpunk', 'Retro-Futurism', 'Steampunk', 'Victorian']"
TGIF Crush,"['Grunge', 'High School Dream', 'Home 2K', 'MTV 2 Overcast', 'Tweencore', 'Shabby Chic', 'Soft Countriana', 'The WB Crush', 'Total Afternoon Live', '80s Heartthrob']"
That Girl,"['Baddie', 'Nymphet', 'Vanilla Girl', 'Summer', 'VSCO', 'Night Luxe']"
Theatre Academia,"['Art Academia', 'Ballet Academia', 'Dark Academia', 'Darkest Academia', 'Light Academia', 'Romantic Academia']"
Theatre Kid,"['High School Dream', 'Theatre Academia', 'Musical Academia', 'Tweencore', 'Preppy', 'Normcore']"
The Box 96,"['Bubbleglam', 'Cheiron Crush', 'McBling', 'MTV Green Sky', 'MTV 2 Overcast', 'R%26B', 'Shiny Suit 97', 'Ultraviolet Crush', 'VSCO', 'Y2K']"
The WB Crush,"['Alternative', 'Brutal Industrial', 'Emo', 'Goth', 'Home 2K', 'McBling', 'Minivan Rock', 'MTV 2 Overcast', 'Preppy', 'Surf Crush', 'TGIF Crush', 'Tweencore', '2K1', '2K5']"
Thrasher,['Metal']
Thriftcore,"['Cottagecore', 'Grunge', 'Hippie', 'Punk', 'Metal', 'Rock', 'Fairy Grunge']"
Tiki,"['Americana', 'Lounge', 'Tropical', 'Vacation Dadcore']"
Tinkercore,"['Gadgetpunk', 'Science Academia', 'Steampunk']"
Tinycore,"['Fairycore', 'Goblincore', 'Kidcore', 'Miniature', 'Craftcore', 'Groundcore']"
Tomato Girl Summer,"['Boujee', 'Cherry Emoji Twitter', 'Coastal Cowgirl', 'Farmer%27s Daughter', 'Grandparentcore', 'New Spanish Catholic Girl', 'Luxury', 'Romantic Italian', 'Scandi Girl Winter', 'Summer', 'Tropical', 'Vacation Dadcore', 'Wanderlust']"
Tomboy,"['Adventurecore', 'Baddie', 'Country', 'Femboy', 'Geek', 'Girl Crush', 'Girly Girl', 'Hipster', 'PEEPS']"
Total Afternoon Live,"['Brutal Industrial', 'Chromecore', 'McBling', 'MTV Green Sky', 'MTV 2 Overcast', 'TGIF Crush', 'Tweencore', '2K1']"
Toxiccore,"['Breakcore', 'Slimepunk', 'Voidpunk', 'Acidwave', 'Glowwave', 'Larpercore']"
Trad Goth,"['Goth', 'Punk', 'Deathrock', 'New Romantic', 'Punk', 'Strega', 'Romantic Goth', 'Glam Rock', 'Nu-Goth']"
Trailer Park Princess,"['Americana', 'Camp', 'Coquette', 'Kinderwhore', 'Midwest Gothic', 'Morute', 'Nymphet', 'Southern Gothic', 'Traumacore', 'Weirdcore']"
Tranquil Spa Graphics,"['Cleancore', 'Cybercore', 'Cyberparadism', 'Dreamcore', 'Dreamy', 'Frutiger Aero', 'Frutiger Eco', 'Helvetica Aqua Aero', 'Lo-Fi', 'Naturecore', 'New Age', 'Printcore', 'Technozen', 'Tiki', 'Tropical', 'Ukiyo-e']"
Trap Metal,"['E-Boy', 'Gesugao', 'Goth', 'Gothcore', 'Hip-Hop', 'Metal', 'Metalcore', 'Necrotrap', 'Nu-Metal', 'Punk', 'Rivethead', 'Rock', 'Trillwave']"
Trashcore,"['Goblincore', 'Nouveau R%C3%A9alisme', 'Liminal Space', 'Thriftcore', 'Urbancore', 'Weirdcore']"
Trashy Raver,"['Alien', 'Club Kids', 'Decora', 'Dollar Store Vernacular', 'Emo', 'Glowwave', 'Grunge', 'Gyaru', 'Hot Topic', 'Kidcore', 'Mallgoth', 'McBling', 'Nostalgiacore', 'Nu-Metal', 'Raver', 'Scene', 'Shibuya Punk', 'Skater', 'So Retro', 'Tecktonik', 'Toxiccore', 'Wixa']"
Traumacore,"['Animecore', 'Cult Party Kei', 'Cutecore', 'Dual Kawaii', 'Happycore', 'Liminal Space', 'Morute', 'Sadpeople', 'Sanriocore', 'Babygirl', 'Southern Gothic', 'Voidpunk', 'Yami Kawaii', 'Weirdcore', 'Dreamcore', 'Drugcore']"
Trenchcore,[]
Trillwave,"['Chromecore', 'Cleancore', 'Corporate', 'Cybercore', 'Cyberparadism', 'Emo', 'Erokawa', 'Frutiger Aero', 'Gangst%C3%A6xtemism', 'Heisei Retro', 'Hip-Hop', 'Holosexual', 'Icepunk', 'Junglecore', 'Lo-Fi', 'LOLcore', 'Memphis Design', 'Memphis Rap', 'Minimalism', 'Mizuiro', 'Moe Swag', 'Nerdcore', 'Nostalgiacore', 'Poolcore', 'Post-Punk', 'R%26B', 'Seapunk', 'Skeuomorphism', 'Slimepunk', 'Terrorwave', 'Technoneko2000', 'Vaporwave', 'Witch House', 'Xpiritualism']"
Triple Chic,"['French Provincial Style', 'McBling', 'Pink Parisian']"
Tropical,"['Beach Day', 'Bohemian', 'Chicha', 'Frutiger Aero', 'Heatwave', 'Hollywood Regency', 'Nautical', 'Ocean Grunge', 'Pirate', 'Poolcore', 'Reefwave', 'Seapunk', 'Summer', 'Surf Crush', 'Tomato Girl Summer', 'Tropical Disco', 'Vacation Dadcore']"
Tropicalcore,"['Americana', 'Barbiecore', 'Bratzcore', 'Beach Girl', 'Bubblegum Coquette', 'Gyaru', 'McBling', 'Nymphet', 'Surf Crush', 'Tropical', 'Tweencore', 'Vacation Dadcore']"
Tropical Disco,"['Cartelcore', 'Club', 'Disco', 'Frutiger Metro', 'Miami Metro', 'Raver', 'Synthwave', 'Tropical', 'Vaporwave', 'Visual Pollution']"
Tumblewave,"['Country', 'Vaporwave']"
Tupinipunk,"['Afrofuturism', 'Cyberpunk', 'Nanopunk']"
Tuscan Rustic,"['Autumn', 'Cottagecore', 'Country', 'Earthcore', 'French Provincial Style', 'Rustic']"
Twee,"['Aestheticism', 'Dolly Girl', 'Poppare', 'Hipster', 'Indie', 'Art Hoe']"
